"Nome da conta",Idade,Gênero,Anúncios,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Início dos relatórios","Término dos relatórios"
"Pandox inspirações Conta de anúncios",35-44,male,"Novo anúncio de Engajamento",3,4,1.33333333,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Video Localização",3,5,1.66666667,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Video se sentindo adorável",4,5,1.25,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,male,"Novo anúncio de Engajamento;...e mais 2 anúncios",2,2,1,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Video vem aprender",35,35,1,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,male,"Novo anúncio de Engajamento",3,3,1,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Video comece pelos acessórios;...e mais 1 anúncio",32,53,1.65625,BRL,0.02988665,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,female,"Video comece pelos acessórios;...e mais 1 anúncio",44,48,1.09090909,BRL,0.02988665,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,unknown,"Video comece pelos acessórios;...e mais 1 anúncio",4,13,3.25,BRL,0.02988665,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,male,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",8,8,1,BRL,0.02924222,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,male,"v1 - localização;...e mais 1 anúncio",2,2,1,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"v1 - localização;...e mais 1 anúncio",8,9,1.125,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Novo anúncio de Engajamento",2,2,1,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,male,"Novo anúncio de Engajamento",5,5,1,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,male,"v2;...e mais 1 anúncio",5,5,1,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,male,"v1 - localização;...e mais 1 anúncio",5,5,1,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"v2;...e mais 1 anúncio",3,5,1.66666667,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,male,"v2;...e mais 1 anúncio",2,2,1,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Video vem aprender",6,6,1,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,male,"Video comece pelos acessórios;...e mais 1 anúncio",11,11,1,BRL,0.01992443,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Video brincadeira;...e mais 1 anúncio",14,14,1,BRL,0.0197,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,male,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",0,19,0,BRL,0.01949482,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,male,"Video localização;...e mais 2 anúncios",7,7,1,BRL,0.0194831,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Video localização;...e mais 2 anúncios",14,14,1,BRL,0.0194831,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,male,"Novo anúncio de Engajamento",2,2,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,male,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",4,4,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,male,"v2;...e mais 1 anúncio",2,2,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"v3 - autoestima;...e mais 1 anúncio",2,2,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,unknown,"Instagram Post",1,1,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Video comece pelos acessórios",2,4,2,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,unknown,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",2,2,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,unknown,"Instagram Post",1,1,1,BRL,0.00998175,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,male,"Instagram Post",8,8,1,BRL,0.00998175,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,male,"Video comece pelos acessórios;...e mais 1 anúncio",6,6,1,BRL,0.00996222,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,female,"Video brincadeira;...e mais 1 anúncio",3,3,1,BRL,0.00985,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,male,"Video brincadeira;...e mais 1 anúncio",14,14,1,BRL,0.00985,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,male,"Video brincadeira;...e mais 1 anúncio",39,41,1.05128205,BRL,0.00985,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,male,"Video brincadeira;...e mais 1 anúncio",6,6,1,BRL,0.00985,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,male,"Video brincadeira;...e mais 1 anúncio",3,3,1,BRL,0.00985,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,female,"Video localização;...e mais 2 anúncios",7,7,1,BRL,0.00974155,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,male,"Video localização;...e mais 2 anúncios",3,3,1,BRL,0.00974155,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,female,"v1 - localização;...e mais 1 anúncio",1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,unknown,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",0,2,0,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,male,"Novo anúncio de Engajamento",1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,male,"Video brincadeira;...e mais 1 anúncio",2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,male,"Novo anúncio de Engajamento",1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"carrossel imagens;...e mais 1 anúncio",2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,male,"Novo anúncio de Engajamento",3,3,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,unknown,"Novo anúncio de Engajamento",1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,female,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",16,18,1.125,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,male,"Novo anúncio de Engajamento",2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,unknown,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,unknown,"Video brincadeira;...e mais 1 anúncio",2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,male,"Instagram Post",1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,male,"Instagram Post",2,3,1.5,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",65+,male,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",0,1,0,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,male,"Video localização;...e mais 2 anúncios",2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,unknown,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,unknown,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,unknown,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",0,7,0,BRL,0,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
