"Nome da conta",Idade,Gênero,Anúncios,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Início dos relatórios","Término dos relatórios"
"Pandox inspirações Conta de anúncios",18-24,female,"Video Acessórios para cada ocasião",84,139,1.6547619,BRL,1.9,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"v2;...e mais 1 anúncio",215,271,1.26046512,BRL,1.87,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Novo anúncio de Engajamento",64,89,1.390625,BRL,1.85,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Video Localização",165,198,1.2,BRL,1.84,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,male,"Video comece pelos acessórios;...e mais 1 anúncio",1555,1570,1.0096463,BRL,1.72346348,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",219,228,1.04109589,BRL,1.72,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Video Super Promoção",109,180,1.65137615,BRL,1.69,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Instagram Post",141,166,1.17730496,BRL,1.62702555,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Video localização;...e mais 2 anúncios",1172,1228,1.04778157,BRL,1.52942346,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Video Acessórios para cada ocasião",110,160,1.45454545,BRL,1.49,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Instagram Post",120,135,1.125,BRL,1.47729927,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"carrossel imagens;...e mais 1 anúncio",129,142,1.10077519,BRL,1.43,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Video Acessórios para cada ocasião",76,107,1.40789474,BRL,1.4,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Postagem garantia",96,140,1.45833333,BRL,1.31,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Instagram Post",83,89,1.07228916,BRL,1.3,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Video se sentindo adorável",162,219,1.35185185,BRL,1.29,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"v1 - localização;...e mais 1 anúncio",202,222,1.0990099,BRL,1.29,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",905,910,1.00552486,BRL,1.2866578,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"v1 - localização;...e mais 1 anúncio",145,162,1.11724138,BRL,1.27,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Video se sentindo adorável",142,173,1.21830986,BRL,1.27,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",87,90,1.03448276,BRL,1.27,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Novo anúncio de Engajamento;...e mais 2 anúncios",54,60,1.11111111,BRL,1.25,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Video brincadeira;...e mais 1 anúncio",1100,1148,1.04363636,BRL,1.2214,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Novo anúncio de Engajamento",37,46,1.24324324,BRL,1.19,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Video Localização",162,201,1.24074074,BRL,1.14,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Video se sentindo adorável",57,67,1.1754386,BRL,1.12,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Instagram Post",116,132,1.13793103,BRL,1.11,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Video comece pelos acessórios;...e mais 1 anúncio",762,830,1.08923885,BRL,1.08588161,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Video comece pelos acessórios",60,84,1.4,BRL,1.01,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Postagem garantia",71,111,1.56338028,BRL,0.99,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,male,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",773,846,1.09443726,BRL,0.95524595,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Novo anúncio de Engajamento;...e mais 2 anúncios",46,73,1.58695652,BRL,0.91,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Video Localização",64,75,1.171875,BRL,0.84,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Postagem garantia",43,58,1.34883721,BRL,0.84,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",55-64,female,"Novo anúncio de Engajamento;...e mais 2 anúncios",25,38,1.52,BRL,0.82,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Instagram Post",120,125,1.04166667,BRL,0.8085219,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Video Super Promoção",54,62,1.14814815,BRL,0.78,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
